Stream_ID,User_ID,Song_ID,Stream_Date,Minutes_Listened,Device
158,95,88,2023-07-10,1.84,Smart Speaker
159,123,166,2024-05-21,3.1,Desktop
160,24,85,2023-04-21,0.57,Mobile
161,96,177,2024-12-22,3.17,Mobile
162,87,173,2023-10-04,2.88,Smart TV
163,68,100,2023-06-21,3.71,Mobile
164,138,21,2023-03-31,3.52,Mobile
165,52,29,2023-12-19,2.7,Mobile
166,63,14,2023-05-16,3.55,Mobile
167,2,88,2023-11-18,3.48,Smart Speaker
168,46,44,2024-12-28,3.44,Mobile
169,16,40,2023-02-03,3.58,Mobile
170,36,74,2024-10-28,4.19,Mobile
171,62,16,2023-09-12,4.02,Tablet
172,22,144,2023-06-30,2.97,Mobile
173,126,99,2024-01-04,3.59,Web Browser
174,60,55,2024-03-14,1.67,Mobile
175,51,115,2023-08-21,1.45,Mobile
176,56,88,2024-04-23,1.08,Desktop
177,10,45,2023-02-02,1.23,Tablet
178,4,19,2023-03-31,4.28,Mobile
179,18,21,2023-01-20,3.22,Tablet
180,96,200,2024-01-19,3.57,Mobile
181,47,121,2023-07-20,4.18,Mobile
182,45,177,2023-11-15,3.15,Mobile
183,56,172,2023-07-25,5.37,Smart Speaker
184,61,157,2024-04-23,2.98,Mobile
185,55,32,2023-02-04,3.38,Tablet
186,47,52,2023-05-14,2.73,Mobile
187,68,21,2023-09-05,3.69,Console
188,5,174,2024-09-23,3.29,Desktop
189,148,65,2024-06-15,3.39,Smart Speaker
190,119,138,2023-12-19,2.33,Smart Speaker
191,132,156,2023-04-22,0.64,Smart TV
192,18,44,2024-09-08,3.44,Mobile
193,150,108,2024-11-06,4.21,Mobile
194,93,154,2023-02-23,2.69,Desktop
195,65,93,2023-05-16,3.59,Desktop
196,146,119,2023-06-22,3.37,Mobile
197,72,72,2023-08-16,4.7,Smart Speaker
198,124,179,2024-08-09,3.59,Mobile
199,45,56,2024-09-29,3.64,Desktop
200,5,94,2023-01-15,1.79,Mobile
201,138,70,2024-07-28,3.07,Desktop
202,147,156,2023-07-06,2.64,Tablet
203,132,27,2024-05-08,4.91,Mobile
204,130,103,2024-08-21,2.65,Web Browser
205,22,117,2024-08-15,2.43,Mobile
206,83,27,2024-12-07,4.79,Mobile
207,42,192,2023-09-07,3,Mobile
208,59,145,2024-05-03,1.29,Mobile
209,119,66,2023-02-28,2.45,Mobile
210,48,137,2024-03-23,3.34,Desktop
211,77,28,2023-03-27,2.54,Tablet
212,37,60,2024-05-31,0.61,Mobile
213,75,122,2023-07-23,3.74,Mobile
214,111,151,2024-09-10,2.09,Mobile
215,60,37,2024-02-22,3.38,Mobile
216,98,90,2023-03-19,3.26,Desktop
217,137,6,2024-03-28,3.16,Mobile
218,56,24,2024-03-28,3.71,Desktop
219,49,58,2023-03-19,3.52,Mobile
220,58,81,2024-01-28,5.15,Smart Speaker
221,17,150,2024-08-09,2.89,Mobile
222,143,104,2023-05-18,3.47,Mobile
223,70,94,2023-05-06,4.07,Mobile
224,101,174,2023-06-11,0.57,Tablet
225,150,132,2023-02-15,3.07,Mobile
226,75,119,2023-02-07,2.42,Desktop
227,41,74,2024-10-10,4.09,Smart Speaker
228,147,123,2024-08-05,4.79,Mobile
229,23,128,2024-06-26,3.62,Tablet
230,85,31,2024-04-29,2.81,Smart Speaker
231,38,15,2024-06-25,2.98,Mobile
232,35,164,2023-05-27,2.99,Desktop
233,51,98,2024-03-29,4.85,Mobile
234,128,164,2023-02-23,2.97,Tablet
235,82,3,2023-01-01,0.86,Desktop
236,88,134,2024-03-21,2.4,Mobile
237,96,59,2023-03-10,3.48,Desktop
238,37,196,2023-04-21,1.62,Mobile
239,84,177,2023-10-24,0.87,Mobile
240,14,74,2023-04-10,4.36,Mobile
241,28,78,2024-05-31,4.29,Mobile
242,35,93,2024-12-04,6.05,Mobile
243,111,19,2023-08-07,4.1,Smart Speaker
244,48,89,2024-10-19,2.29,Smart TV
245,125,162,2023-05-05,2.41,Mobile
246,59,89,2024-06-07,3.69,Desktop
247,99,181,2024-04-01,4.27,Mobile
248,115,32,2023-01-01,0.62,Mobile
249,62,77,2023-11-08,3.2,Desktop
250,19,84,2024-08-08,2.9,Mobile
251,111,45,2023-08-03,3.23,Tablet
252,84,8,2024-03-17,2.88,Mobile
253,58,200,2024-03-06,3.74,Mobile
254,60,28,2023-12-11,0.5,Mobile
255,13,170,2024-02-12,3.51,Web Browser
256,64,90,2024-03-28,1.6,Mobile
257,52,115,2023-11-12,4.27,Mobile
258,126,155,2024-09-15,2.56,Smart Speaker
259,142,36,2024-01-17,2.56,Desktop
260,68,113,2024-06-18,4.07,Mobile
261,67,45,2023-10-22,3.23,Web Browser
262,150,50,2024-04-04,2.85,Mobile
263,101,25,2024-04-17,3.97,Mobile
264,127,150,2024-07-10,3.07,Mobile
265,15,81,2024-05-18,4.99,Mobile
266,67,180,2023-12-06,2.86,Mobile
267,118,45,2023-07-28,3.45,Mobile
268,142,137,2024-06-03,3.65,Mobile
269,48,195,2023-01-27,3.59,Mobile
270,136,94,2024-10-13,4.34,Smart TV
271,49,83,2023-10-23,4.02,Mobile
272,104,165,2023-04-07,2.57,Tablet
273,27,91,2023-05-23,5.4,Desktop
274,17,103,2023-07-09,3.58,Desktop
275,112,49,2024-08-24,4.76,Mobile
276,40,127,2023-10-29,3.43,Desktop
277,31,4,2024-09-02,0.61,Web Browser
278,149,2,2023-02-23,3.76,Desktop
279,99,32,2024-07-04,3.26,Mobile
280,116,55,2023-05-15,3.4,Mobile
281,67,10,2023-03-18,3.53,Mobile
282,17,83,2023-08-12,3.76,Mobile
283,131,192,2023-10-12,0.84,Mobile
284,5,16,2023-12-10,0.93,Desktop
285,2,115,2024-05-01,4.17,Desktop
286,29,14,2024-02-06,3.32,Mobile
287,118,101,2023-07-14,1.36,Mobile
288,44,78,2023-09-12,4.08,Mobile
289,142,179,2023-04-28,2.33,Desktop
290,3,11,2023-06-06,3.08,Smart Speaker
291,19,26,2023-05-19,3.03,Mobile
292,52,175,2024-07-16,2.62,Smart Speaker
293,130,4,2023-05-12,3.37,Smart Speaker
294,7,101,2024-07-25,3.05,Mobile
295,100,49,2023-04-28,4.92,Mobile
296,147,176,2023-04-08,3.41,Mobile
297,75,59,2024-11-23,3.36,Desktop
298,130,108,2023-01-20,4.45,Mobile
299,11,30,2024-10-31,3.17,Mobile
300,53,65,2024-02-22,3.27,Tablet
301,47,110,2023-04-07,2.36,Mobile
302,89,63,2024-10-19,2.23,Tablet
303,61,177,2023-06-04,2.6,Mobile
304,6,177,2023-10-19,3.31,Smart TV
305,66,25,2024-08-21,3.98,Desktop
306,6,141,2023-09-02,3.63,Mobile
307,52,136,2024-04-20,2.88,Smart Speaker
308,113,18,2024-01-20,3.31,Desktop
309,23,44,2023-12-03,3.39,Mobile
310,60,187,2024-12-02,2.89,Mobile
311,29,71,2024-07-02,3.16,Smart Speaker
312,37,83,2024-12-19,4.06,Desktop
313,16,88,2023-03-20,3.47,Mobile
314,69,123,2024-09-06,2.1,Mobile
315,121,147,2023-07-15,3.35,Desktop
316,19,14,2023-04-12,3.42,Mobile
317,148,187,2024-08-23,1.98,Mobile
318,99,100,2023-01-26,3.96,Mobile
319,11,195,2024-03-15,3.59,Mobile
320,48,80,2024-01-17,3.03,Mobile
321,51,106,2024-10-09,4.12,Smart Speaker
322,113,44,2024-07-05,1.45,Mobile
323,10,39,2023-02-04,2.54,Mobile
324,62,104,2023-04-24,0.7,Mobile
325,10,68,2023-05-29,1.48,Desktop
326,117,31,2024-04-03,2.92,Mobile
327,102,139,2023-01-11,2.27,Console
328,13,89,2024-05-17,3.7,Desktop
329,133,47,2024-08-25,2.86,Smart Speaker
330,24,14,2023-04-09,1.36,Desktop
331,44,182,2023-08-11,3.37,Smart Speaker
332,25,68,2024-04-06,3.93,Mobile
333,129,14,2024-06-23,0.73,Tablet
334,12,172,2023-09-08,5.07,Mobile
335,100,7,2024-05-06,3.32,Mobile
336,27,125,2023-08-31,1.27,Mobile
337,40,140,2023-01-11,3.81,Mobile
338,124,159,2024-04-27,3.24,Desktop
339,31,146,2023-12-24,3.91,Smart Speaker
340,89,107,2024-03-18,2.53,Mobile
341,132,95,2023-04-03,4.88,Smart Speaker
342,96,170,2024-07-03,3.42,Desktop
343,2,41,2023-08-15,3.11,Smart Speaker
344,89,61,2024-07-28,1.98,Mobile
345,50,102,2024-05-02,2.68,Mobile
346,67,107,2024-03-25,3.51,Mobile
347,55,58,2023-09-17,2.53,Mobile
348,70,103,2024-03-27,3.49,Mobile
349,142,60,2024-11-29,2.34,Mobile
350,104,112,2023-09-20,2.66,Console
351,50,38,2024-07-02,3.39,Desktop
352,40,116,2023-04-30,1.87,Mobile
353,16,106,2024-09-06,3.65,Desktop
354,142,182,2024-03-24,3.53,Desktop
355,145,45,2023-10-05,3.41,Mobile
356,65,90,2023-09-01,3.47,Mobile
357,38,106,2023-09-10,3.49,Console
358,89,82,2024-03-29,3.26,Mobile
359,32,19,2024-02-25,3.66,Mobile
360,35,1,2024-03-11,3.02,Mobile
361,5,76,2023-07-01,3.58,Mobile
362,31,128,2023-07-07,3.6,Mobile
363,23,47,2024-11-30,1.61,Mobile
364,134,196,2023-09-27,2.83,Smart Speaker
365,133,137,2024-08-22,1.7,Console
366,52,27,2023-05-30,4.74,Tablet
367,57,131,2024-09-10,2.72,Web Browser
368,44,75,2023-08-27,2.69,Desktop
369,82,10,2023-10-02,3.62,Mobile
370,42,100,2023-04-16,1.91,Smart Speaker
371,140,67,2024-10-11,3.08,Mobile
372,37,41,2023-04-30,3.11,Mobile
373,78,185,2024-09-26,3.25,Mobile
374,117,40,2024-10-30,3.79,Desktop
375,70,146,2024-03-20,0.76,Smart Speaker
376,137,28,2024-11-28,3.16,Smart Speaker
377,140,76,2024-07-19,2.25,Mobile
378,127,178,2023-07-22,0.58,Mobile
379,3,6,2023-04-17,3.08,Smart TV
380,115,167,2023-03-11,3.05,Mobile
381,139,72,2023-10-07,3.49,Tablet
382,86,100,2024-07-15,3.86,Mobile
383,11,16,2023-02-23,1.38,Mobile
384,23,181,2024-04-24,4.43,Desktop
385,53,183,2023-01-10,3.59,Mobile
386,58,179,2024-03-04,3.7,Mobile
387,92,89,2024-05-02,3.86,Smart Speaker
388,38,24,2024-01-10,3.7,Mobile
389,96,180,2024-12-24,2.4,Mobile
390,136,171,2024-09-08,3.53,Mobile
391,103,77,2023-07-10,2.56,Mobile
392,47,193,2023-01-21,3.24,Mobile
393,102,128,2024-12-19,2.51,Smart Speaker
394,25,179,2023-03-12,1.63,Tablet
395,92,49,2023-12-30,0.99,Web Browser
396,93,184,2023-11-01,2.94,Mobile
397,145,160,2023-05-21,1.74,Tablet
398,13,187,2024-12-31,1.97,Smart TV
399,25,11,2023-12-07,3.26,Smart TV
400,57,30,2024-10-30,3.33,Mobile
401,10,25,2023-07-08,4.11,Mobile
402,2,19,2023-03-08,3.39,Desktop
403,103,169,2023-02-10,2.89,Mobile
404,6,25,2023-01-08,2.61,Desktop
405,18,118,2024-04-26,1.58,Mobile
406,52,175,2024-04-09,2.67,Smart Speaker
407,15,175,2023-02-11,2.16,Desktop
408,90,147,2023-08-15,1.17,Mobile
409,46,163,2024-01-07,2.74,Mobile
410,13,61,2024-04-19,3.22,Mobile
411,2,7,2023-03-18,2.61,Mobile
412,116,196,2024-08-13,2.4,Mobile
413,72,37,2023-01-21,3.55,Desktop
414,114,198,2024-08-16,3.69,Mobile
415,78,11,2024-08-20,3.26,Smart Speaker
416,68,169,2024-11-25,2.21,Mobile
417,130,84,2024-12-05,2.77,Mobile
418,34,125,2024-08-09,4.37,Mobile
419,100,122,2023-08-08,5.06,Smart Speaker
420,58,63,2024-10-09,2.25,Web Browser
421,112,121,2024-07-05,4.46,Desktop
422,50,69,2024-07-14,3.02,Mobile
423,98,130,2024-02-27,3.03,Desktop
424,130,183,2023-12-08,3.36,Mobile
425,107,24,2024-08-29,1.42,Smart Speaker
426,6,89,2024-10-10,2.09,Mobile
427,76,73,2023-03-10,0.57,Console
428,56,33,2024-09-21,2.01,Mobile
429,8,139,2024-01-31,3.33,Desktop
430,112,41,2023-01-10,3.15,Web Browser
431,128,108,2023-01-13,4.39,Smart Speaker
432,61,198,2023-03-23,1.46,Mobile
433,31,6,2024-05-27,2.11,Smart Speaker
434,140,69,2023-07-26,2.28,Desktop
435,44,123,2024-06-15,4.2,Smart Speaker
436,131,158,2023-11-23,1.53,Desktop
437,85,135,2023-01-04,2.45,Desktop
438,29,12,2024-12-09,2.6,Desktop
439,60,176,2024-02-17,3.45,Tablet
440,65,59,2023-06-12,1.45,Tablet
441,99,97,2024-06-30,4.68,Mobile
442,124,134,2023-11-21,0.54,Web Browser
443,128,103,2024-01-21,3.69,Smart TV
444,17,198,2024-01-30,3.65,Smart Speaker
445,106,82,2023-11-23,3.76,Mobile
446,116,71,2023-08-24,3.17,Mobile
447,64,57,2023-03-01,2.79,Smart Speaker
448,111,97,2024-04-16,4.34,Smart TV
449,123,61,2023-06-08,2.75,Mobile
450,105,33,2023-07-02,3.23,Desktop
451,138,197,2024-06-29,2.51,Web Browser
452,148,14,2023-01-13,2.32,Desktop
453,52,178,2024-12-12,3.42,Mobile
454,62,85,2024-03-10,3.14,Desktop
455,29,162,2024-03-14,2.32,Mobile
456,97,186,2023-10-05,2.88,Smart TV
457,28,183,2023-04-15,3.6,Desktop
458,48,178,2023-10-15,3.47,Smart Speaker
459,103,159,2024-05-23,3.12,Desktop
460,30,51,2024-06-12,1.6,Desktop
461,61,75,2024-08-16,3.38,Desktop
462,113,14,2023-08-02,3.62,Mobile
463,45,114,2024-08-20,2.85,Tablet
464,127,178,2024-09-24,3.22,Mobile
465,27,28,2023-08-29,1.34,Mobile
466,39,81,2023-05-05,4.95,Desktop
467,76,86,2024-10-12,4.38,Smart Speaker
468,148,70,2024-05-16,3.15,Mobile
469,131,172,2023-06-10,5.6,Mobile
470,73,3,2024-06-06,3.57,Mobile
471,76,38,2024-03-31,3.41,Mobile
472,44,198,2023-02-08,2.84,Tablet
473,146,9,2023-07-22,1.37,Mobile
474,22,79,2023-11-23,3.13,Desktop
475,130,129,2023-12-17,7,Smart Speaker
476,124,109,2023-09-24,4.1,Desktop
477,44,149,2024-01-21,2.65,Mobile
478,140,166,2023-08-11,0.66,Desktop
479,94,91,2024-08-26,4.92,Smart Speaker
480,41,151,2023-02-13,2.06,Mobile
481,106,133,2024-03-24,2.74,Mobile
482,113,135,2024-01-12,2.87,Desktop
483,114,29,2023-04-06,2.62,Console
484,116,37,2023-11-09,2.06,Smart Speaker
485,19,59,2024-12-22,3.23,Web Browser
486,94,113,2024-01-04,3.81,Tablet
487,106,192,2023-09-25,3.64,Web Browser
488,137,161,2024-02-18,2.73,Tablet
489,42,169,2024-04-23,2.87,Mobile
490,54,168,2023-11-01,1.06,Smart Speaker
491,105,184,2023-01-31,3.64,Mobile
492,58,111,2024-01-26,3.41,Desktop
493,87,192,2023-09-21,3.48,Tablet
494,13,115,2024-05-12,3.99,Web Browser
495,147,13,2023-12-02,4.11,Mobile
496,102,55,2023-08-08,1.97,Tablet
497,16,77,2023-09-08,0.85,Desktop
498,66,152,2024-05-28,3.76,Mobile
499,131,161,2023-05-02,2.81,Mobile
500,80,101,2024-06-04,3.03,Mobile
501,134,117,2024-10-17,0.85,Mobile
502,55,67,2023-12-08,3.19,Desktop
503,144,154,2023-01-09,2.75,Mobile
504,122,121,2024-10-13,4.16,Desktop
505,67,29,2023-06-08,2.78,Desktop
506,72,90,2024-05-26,0.79,Tablet
507,47,180,2023-06-12,2.8,Smart Speaker
508,93,144,2023-05-08,2.86,Mobile
509,111,183,2024-03-02,3.61,Desktop
510,16,132,2024-12-27,2.84,Smart Speaker
511,106,48,2024-05-19,3.58,Desktop
512,38,127,2023-02-26,3.21,Mobile
513,69,172,2024-06-16,5.28,Desktop
514,144,30,2024-08-18,3.07,Mobile
515,59,43,2023-02-27,0.82,Web Browser
516,70,73,2023-06-30,4.77,Mobile
517,97,85,2024-09-02,3,Mobile
518,8,49,2023-04-03,0.72,Desktop
519,133,184,2024-01-18,1.28,Console
520,90,27,2023-08-09,4.56,Mobile
521,149,95,2024-08-02,4.84,Tablet
522,133,181,2023-11-20,4.46,Desktop
523,58,161,2023-11-17,2.67,Tablet
524,68,22,2023-09-23,4.13,Desktop
525,92,145,2024-03-29,3.17,Mobile
526,9,149,2023-07-20,2.7,Tablet
527,132,111,2023-12-19,1.87,Console
528,36,95,2023-03-12,4.03,Mobile
529,123,43,2023-01-21,2.9,Console
530,30,29,2023-02-12,1.44,Smart Speaker
531,133,115,2024-02-24,4.33,Web Browser
532,114,157,2024-04-11,2.93,Smart Speaker
533,99,169,2023-09-25,1.82,Desktop
534,48,118,2023-01-15,1.49,Mobile
535,2,65,2024-01-09,3.46,Smart TV
536,110,59,2024-07-13,3.56,Desktop
537,31,136,2023-07-20,2.97,Smart Speaker
538,67,44,2023-10-13,3.42,Mobile
539,4,44,2024-09-14,3.47,Mobile
540,78,69,2023-02-22,2.77,Mobile
541,100,136,2023-04-03,3.04,Smart Speaker
542,58,138,2024-11-11,3.25,Mobile
543,71,1,2024-06-10,3.1,Mobile
544,108,182,2024-01-25,1.38,Mobile
545,54,16,2024-11-14,3.97,Mobile
546,86,130,2024-12-14,3.62,Smart Speaker
547,93,80,2023-10-19,3.09,Mobile
548,146,42,2024-04-18,2.89,Web Browser
549,39,173,2024-04-01,3.32,Smart Speaker
550,141,84,2024-12-19,2.67,Mobile
551,57,151,2024-09-30,2.11,Mobile
552,18,120,2024-08-15,4.25,Smart Speaker
553,45,90,2023-01-21,3.55,Desktop
554,40,36,2024-11-04,2.52,Mobile
555,68,174,2023-08-14,2.06,Mobile
556,133,125,2023-09-20,4.18,Smart Speaker
557,134,33,2024-07-21,1.51,Smart Speaker
558,7,25,2024-11-16,4.17,Mobile
559,82,161,2023-08-13,1.12,Mobile
560,122,44,2024-05-17,3.27,Mobile
561,101,128,2023-03-25,3.7,Desktop
562,4,157,2023-04-16,1.39,Mobile
563,49,14,2023-03-24,3.53,Mobile
564,130,186,2023-03-17,3.34,Mobile
565,90,18,2024-01-06,3.29,Smart TV
566,63,88,2024-02-17,2.87,Mobile
567,52,162,2023-07-11,2.46,Mobile
568,140,103,2024-07-07,3.7,Mobile
569,121,186,2023-02-15,2.9,Smart Speaker
570,39,11,2023-09-28,3.31,Tablet
571,114,48,2023-11-13,4.5,Smart Speaker
572,28,193,2024-07-06,3.21,Web Browser
573,66,94,2024-05-15,3.98,Smart Speaker
574,128,169,2024-04-22,3.03,Web Browser
575,101,167,2023-03-26,3.25,Smart Speaker
576,77,179,2023-05-06,3.8,Console
577,36,64,2024-11-16,3.15,Smart Speaker
578,62,18,2023-01-08,3.41,Mobile
579,31,61,2023-05-27,3.24,Web Browser
580,87,95,2024-08-16,2.29,Desktop
581,26,102,2023-10-05,2.61,Web Browser
582,84,6,2024-02-05,3.14,Mobile
583,57,71,2024-03-24,3.14,Mobile
584,117,186,2024-09-04,3.19,Mobile
585,3,42,2023-05-24,2.79,Console
586,120,36,2023-12-30,1.77,Smart TV
587,116,27,2024-08-28,4.9,Smart Speaker
588,93,140,2023-08-12,1.4,Mobile
589,19,64,2024-07-18,3.05,Smart TV
590,100,128,2023-06-13,3.83,Mobile
591,120,47,2024-09-25,2.09,Mobile
592,9,110,2023-05-24,3.45,Mobile
593,11,167,2023-08-20,1.19,Mobile
594,126,158,2024-10-04,2.25,Smart Speaker
595,114,37,2023-04-23,2.6,Mobile
596,129,112,2023-08-18,3.79,Smart Speaker
597,127,137,2024-10-30,1.2,Smart Speaker
598,84,65,2024-02-27,3.29,Smart TV
599,106,186,2023-06-30,3.35,Console
600,23,75,2024-03-01,3.72,Mobile
601,9,48,2024-11-22,4.33,Desktop
602,93,108,2023-06-10,4.65,Console
603,91,6,2023-08-08,3.27,Smart Speaker
604,13,199,2024-10-09,3.69,Mobile
605,114,95,2024-07-19,0.8,Mobile
606,134,198,2024-11-03,3.74,Mobile
607,39,115,2023-07-16,4.13,Desktop
608,69,78,2024-07-07,4.13,Desktop
609,82,169,2023-09-06,2.38,Mobile
610,119,99,2023-11-12,3.65,Desktop
611,73,104,2023-10-13,3.39,Smart Speaker
612,70,24,2023-07-28,2.8,Tablet
613,24,131,2023-05-23,2.85,Web Browser
614,59,102,2023-03-16,2.72,Mobile
615,125,137,2023-12-25,3.03,Mobile
616,100,95,2023-01-28,4.6,Mobile
617,112,125,2024-07-26,4.24,Mobile
618,44,127,2024-11-23,3.38,Smart Speaker
619,56,91,2023-07-06,5.36,Mobile
620,60,133,2024-08-25,1.29,Smart TV
621,44,23,2023-10-04,4.22,Mobile
