Song_ID,Song_Name,Artist_ID,Duration,Release_Year
121,Yellow,25,04:29,2000
122,The Scientist,25,05:09,2002
123,Fix You,25,04:55,2005
124,Viva la Vida,25,04:02,2008
125,A Sky Full of Stars,25,04:28,2014
126,Stronger,26,05:11,2007
127,Gold Digger,26,03:28,2005
128,Flashing Lights,26,03:57,2007
129,Runaway,26,09:08,2010
130,All Falls Down,26,03:37,2004
131,Espresso,27,02:55,2024
132,Please Please Please,27,03:06,2024
133,Feather,27,02:53,2023
134,Nonsense,27,02:57,2022
135,because i liked a boy,27,02:54,2023
136,Last Night,28,03:07,2023
137,Wasted on You,28,03:39,2021
138,More Than My Hometown,28,03:18,2020
139,7 Summers,28,03:24,2020
140,Sand in My Boots,28,04:08,2021
141,Bodak Yellow,29,03:44,2017
142,I Like It,29,04:08,2018
143,WAP,29,03:23,2020
144,Money,29,03:06,2018
145,Please Me,29,03:26,2019
146,Say So,30,03:57,2019
147,Kiss Me More,30,03:28,2021
148,Need to Know,30,03:34,2021
149,Woman,30,02:51,2021
150,Streets,30,03:12,2019
151,Drip Too Hard,31,02:17,2018
152,Emotionally Scarred,31,03:54,2020
153,The Bigger Picture,31,03:59,2020
154,Sum 2 Prove,31,02:55,2020
155,Yes Indeed,31,02:38,2018
156,Ella Baila Sola,32,02:52,2023
157,La Bebe,32,03:01,2023
158,PRC,32,02:28,2023
159,Bzrp Music Sessions #55,32,03:16,2023
160,Teka,32,03:04,2023
161,Truth Hurts,33,02:53,2017
162,Good as Hell,33,02:38,2016
163,Juice,33,02:58,2019
164,About Damn Time,33,03:13,2022
165,Cuz I Love You,33,02:51,2019
166,Fast Car,34,03:26,2023
167,When It Rains It Pours,34,03:21,2017
168,Beautiful Crazy,34,03:17,2018
169,Beer Never Broke My Heart,34,03:04,2019
170,Hurricane,34,03:41,2016
171,Rockstar,35,03:39,2017
172,a lot,35,05:37,2018
173,Bank Account,35,03:29,2017
174,Immortal,35,03:25,2018
175,No Heart,35,02:49,2016
176,PROVENZA,36,03:38,2022
177,TQG,36,03:23,2023
178,CAIRO,36,03:30,2023
179,Mamiii,36,03:52,2022
180,Bichota,36,03:03,2020
181,Uptown Funk,37,04:30,2014
182,Just the Way You Are,37,03:40,2010
183,Grenade,37,03:42,2010
184,Leave the Door Open,37,04:02,2021
185,That's What I Like,37,03:26,2016
186,Believer,38,03:24,2017
187,Thunder,38,03:07,2017
188,Radioactive,38,03:07,2012
189,Demons,38,02:57,2012
190,Enemy,38,02:52,2021
191,Flowers,39,03:21,2023
192,Wrecking Ball,39,03:42,2013
193,Party in the U.S.A.,39,03:22,2009
194,Midnight Sky,39,03:43,2020
195,The Climb,39,03:53,2009
196,Stay With Me,40,02:52,2014
197,Unholy,40,02:36,2022
198,I'm Not the Only One,40,03:54,2014
199,Writing's on the Wall,40,04:41,2015
200,Lay Me Down,40,03:48,2014
